scorer,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,Tail,Tail,Tail,Body1,Body1,Body1,Body2,Body2,Body2,Body3,Body3,Body3,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
102,813.577,1683.985,0.9539999961853027,803.269,1683.827,0.921999990940094,772.096,1651.443,0.8709999918937683,744.67,1651.656,0.9929999709129333,732.567,1668.206,1.0
103,813.903,1683.985,0.9440000057220459,802.689,1682.883,0.9290000200271606,772.971,1651.478,0.8650000095367432,744.587,1652.271,0.9290000200271606,732.535,1668.003,1.0
104,909.158,1752.72,0.9629999995231628,802.689,1682.267,0.8949999809265137,779.516,1651.478,0.9470000267028809,744.587,1652.271,0.996999979019165,732.535,1667.481,1.0
105,909.158,1752.72,0.9580000042915344,797.092,1662.016,0.9100000262260437,779.643,1651.478,0.9789999723434448,744.847,1652.271,0.9990000128746033,732.144,1667.295,1.0
106,909.158,1752.72,0.9300000071525574,796.908,1660.192,0.8309999704360962,779.516,1651.446,0.9739999771118164,744.709,1652.271,1.0,731.851,1666.182,1.0
107,813.927,1676.518,0.9409999847412109,787.914,1659.815,0.9100000262260437,779.516,1651.317,0.9340000152587891,744.847,1652.144,0.996999979019165,731.772,1665.712,1.0
108,813.927,1675.763,0.9739999771118164,787.754,1653.829,0.9480000138282776,774.084,1651.303,0.9850000143051147,744.847,1651.772,0.9950000047683716,731.583,1665.242,1.0
109,813.438,1675.763,0.9950000047683716,787.027,1653.195,0.972000002861023,773.5,1651.303,0.9890000224113464,744.709,1651.772,0.9710000157356262,731.478,1665.242,1.0
110,813.438,1675.763,0.9950000047683716,786.178,1652.342,0.9959999918937683,772.862,1650.453,0.9990000128746033,744.563,1651.374,0.9990000128746033,731.422,1665.242,1.0
111,813.541,1668.416,0.9769999980926514,779.922,1645.789,0.9919999837875366,772.862,1649.838,0.996999979019165,743.263,1651.01,0.9990000128746033,731.422,1665.242,1.0
112,813.541,1668.007,0.9890000224113464,780.35,1645.789,0.9890000224113464,772.462,1648.937,0.9990000128746033,742.825,1650.065,1.0,730.105,1663.332,1.0
113,813.025,1667.373,0.9890000224113464,779.922,1645.081,0.9959999918937683,772.163,1648.937,0.9990000128746033,742.825,1649.605,1.0,730.105,1663.201,1.0
114,737.838,1596.956,0.9900000095367432,779.336,1644.728,0.9940000176429749,771.952,1647.967,0.9990000128746033,742.206,1643.784,1.0,728.893,1662.575,1.0
115,734.32,1596.956,0.9980000257492065,761.491,1612.681,0.9750000238418579,765.446,1643.895,0.9700000286102295,741.63,1643.469,0.9990000128746033,729.483,1662.451,1.0
116,733.911,1596.956,0.9990000128746033,761.183,1612.681,0.9760000109672546,765.446,1643.895,0.9919999837875366,741.63,1643.305,1.0,730.105,1661.892,1.0
117,733.911,1597.556,0.996999979019165,761.183,1612.681,0.9869999885559082,765.446,1643.895,0.9779999852180481,745.549,1643.305,1.0,730.726,1661.892,1.0
118,733.911,1597.556,0.9919999837875366,761.333,1613.012,0.9850000143051147,773.175,1645.57,0.9850000143051147,744.541,1643.305,0.9990000128746033,730.726,1662.206,1.0
119,734.47,1597.556,0.9629999995231628,761.364,1613.373,0.9760000109672546,773.186,1645.667,0.9580000042915344,744.541,1643.415,0.996999979019165,731.603,1662.451,1.0
120,738.172,1597.099,0.9179999828338623,761.333,1613.373,0.9710000157356262,773.303,1645.667,0.9670000076293945,745.515,1643.415,0.9980000257492065,731.603,1662.206,1.0
121,738.183,1597.099,0.6980000138282776,761.333,1613.373,0.9900000095367432,773.497,1645.678,0.9440000057220459,745.515,1643.592,0.9980000257492065,731.603,1662.46,1.0
122,738.21,1596.619,0.9139999747276306,761.364,1604.89,0.996999979019165,773.334,1645.667,0.9660000205039978,745.471,1643.592,0.9950000047683716,731.603,1662.46,1.0
123,739.042,1588.636,0.9190000295639038,761.306,1604.228,0.996999979019165,774.146,1645.667,0.9649999737739563,745.515,1643.409,0.9919999837875366,731.603,1662.46,1.0
124,739.782,1588.461,0.9919999837875366,761.306,1603.289,0.9980000257492065,774.151,1645.628,0.9129999876022339,745.544,1642.911,0.996999979019165,731.816,1662.356,1.0
125,740.675,1588.461,0.9259999990463257,761.454,1603.165,0.9959999918937683,774.151,1645.628,0.9490000009536743,745.544,1642.845,0.9950000047683716,731.887,1662.356,1.0
126,740.675,1587.63,0.9990000128746033,762.007,1603.289,1.0,773.334,1645.085,0.9810000061988831,745.544,1642.685,0.9990000128746033,732.194,1662.21,1.0
127,741.646,1586.35,1.0,763.348,1603.289,1.0,774.151,1636.598,0.9850000143051147,745.544,1642.254,1.0,732.194,1661.745,1.0
128,742.596,1586.35,0.9980000257492065,770.006,1603.875,0.9990000128746033,773.189,1635.363,0.9350000023841858,745.544,1642.254,0.9919999837875366,731.887,1661.745,1.0
