Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2896.0,263.19516,1757.4105,0.22969098,172.1827,941.2436,0.40027782,231.14482,882.393,0.5027891,290.23972,843.99695,0.47696435,354.22366,811.55505,0.8046919,,0,,,
2897.0,111.14712,1036.4814,0.43384627,170.74826,941.8396,0.3566225,225.81706,886.0104,0.48789704,284.0696,845.75854,0.46014747,353.5205,810.99603,0.79466206,,0,,,
2898.0,109.49165,1035.8663,0.56328034,171.93248,938.527,0.38074178,223.83455,884.55084,0.4757162,280.5733,845.6223,0.54998016,351.71246,811.34814,0.8315619,,0,,,
2899.0,113.26558,1031.8854,0.6713019,168.70013,937.8367,0.34165972,222.08478,883.11194,0.5059082,280.19348,842.46185,0.5370813,351.43903,810.3781,0.801152,,0,,,
2900.0,115.320175,1031.8396,0.6074192,168.44937,934.5405,0.32234132,218.81734,884.57135,0.504664,278.18057,842.82086,0.49564916,350.82886,809.39484,0.8225363,,0,,,
2901.0,106.73942,1033.5051,0.4331883,167.80435,933.6711,0.3678393,218.42339,883.5256,0.54171026,277.2907,841.93933,0.5108308,350.30917,808.65955,0.8025912,,0,,,
2902.0,97.2891,1026.2953,0.4347223,165.8788,933.7925,0.3255039,217.17906,882.0959,0.50617653,276.9896,841.97406,0.5058556,349.39572,808.19556,0.77172273,,0,,,
2903.0,98.41796,1028.4155,0.37697753,162.24936,933.754,0.32571656,214.88667,883.79974,0.50228614,276.62292,840.1124,0.5106944,346.7884,808.6713,0.7456106,,0,,,
2904.0,98.54113,1033.173,0.2913211,159.988,933.1388,0.29618895,220.18732,877.0549,0.4959903,276.9335,839.8302,0.5046183,344.64563,807.71515,0.73099005,,0,,,
2905.0,102.39757,1037.0376,0.49034625,159.37892,933.2268,0.28576463,214.14516,884.9072,0.5143044,274.97867,839.5832,0.49244368,343.944,808.3946,0.7587498,,0,,,
2906.0,104.814514,1039.1173,0.5673519,148.60541,947.02185,0.23182598,212.44366,888.918,0.48704442,271.68546,842.2813,0.4671156,343.2366,808.61224,0.7745885,,0,,,
2907.0,104.17656,1039.6062,0.644735,161.4169,934.2193,0.24462953,210.44878,884.656,0.4573368,265.25348,846.6042,0.53354067,337.69684,810.65564,0.78333104,,0,,,
2908.0,98.30759,1029.6385,0.3552038,165.30965,931.8205,0.25501233,210.6213,883.7572,0.4143201,266.48346,846.2139,0.42200112,337.39725,813.1351,0.7699898,,0,,,
2909.0,89.42458,1029.1812,0.34113514,120.47476,985.38367,0.29083562,207.20616,886.348,0.39144108,263.22974,848.3716,0.54026365,335.303,815.8076,0.762128,,0,,,
2910.0,265.04547,1762.0576,0.24639063,121.41601,986.0548,0.30240002,201.81332,891.48486,0.3800499,261.60324,850.5549,0.5605063,333.55392,817.90704,0.7419474,,0,,,
2911.0,264.82904,1761.7445,0.25602922,121.0225,984.3904,0.26515248,195.3093,900.30493,0.4619326,259.66592,851.11725,0.5386751,332.52292,817.7626,0.7318145,,0,,,
2912.0,111.69386,1020.4999,0.5478707,118.819405,978.8241,0.2671778,194.67357,898.3999,0.4756021,259.19418,852.28723,0.523884,331.9312,818.6908,0.7388544,,0,,,
2913.0,121.86899,1016.9952,0.3176357,115.56932,962.4575,0.26484105,190.24797,896.64215,0.5677112,251.37108,856.1514,0.5228971,330.24667,820.48486,0.695619,,0,,,
2914.0,265.4047,1760.3234,0.23430781,110.87653,959.1503,0.32622814,185.53345,897.9607,0.4948092,251.65437,853.903,0.45170406,332.81403,822.5812,0.69176227,,0,,,
2915.0,265.2451,1761.0276,0.24919643,111.97694,958.5056,0.32291183,183.2102,896.3624,0.52370846,249.421,857.8965,0.4679471,325.81796,831.2365,0.7067309,,0,,,
2916.0,107.017265,1033.7145,0.36813092,100.454414,965.3725,0.25629136,179.63571,896.42755,0.4519993,246.36044,865.39624,0.49185383,323.68176,839.715,0.7317076,,0,,,
2917.0,264.75055,1760.2664,0.26600635,85.21785,950.68463,0.21973996,176.88919,897.8864,0.48562983,248.2728,869.0668,0.45422015,322.84482,848.9202,0.7885021,,0,,,
2918.0,263.31122,1756.3773,0.2403581,105.688644,930.65643,0.17065176,173.72664,900.9771,0.5371757,248.48344,872.10675,0.4040716,323.44205,853.5021,0.81888354,,0,,,
2919.0,263.35916,1756.6469,0.20985709,105.09309,931.9646,0.22378072,172.51921,904.15515,0.532599,248.71072,875.0011,0.44394106,324.26736,855.49066,0.8002968,,0,,,
2920.0,263.0976,1756.5988,0.19663742,96.347046,951.5036,0.2118549,174.90623,910.9693,0.5547234,250.51823,878.3808,0.4120678,326.80667,857.1216,0.7746557,,0,,,
2921.0,263.1027,1756.3533,0.15228128,109.01063,950.0026,0.19378643,175.82733,915.13354,0.6044969,250.90034,882.79254,0.5122731,326.53812,859.4467,0.7500078,,0,,,
2922.0,341.5443,874.5871,0.15362513,93.82029,975.88635,0.27647308,163.41602,925.9681,0.4685167,250.62117,884.96716,0.4054895,326.96066,862.9388,0.70618427,,0,,,
2923.0,109.993065,1037.407,0.24485934,112.86965,958.86523,0.18200779,188.0795,917.2477,0.44957653,250.84694,887.7042,0.45314533,326.02383,865.22925,0.6913339,,0,,,
2924.0,339.58627,874.3776,0.12417789,104.95723,957.1242,0.19128402,186.14555,922.0408,0.5254453,250.5454,893.14343,0.34624457,326.86517,868.22406,0.74820226,,0,,,
2925.0,339.6502,875.45154,0.1491219,112.337364,955.2139,0.19605257,187.2495,922.51965,0.54336965,260.21466,891.3362,0.3982713,327.5835,870.1311,0.7561763,,0,,,
2926.0,104.80937,1012.1935,0.1499877,112.82369,962.75824,0.19022548,187.06429,925.65564,0.5570033,253.5225,896.03375,0.41315815,328.5378,870.74023,0.7415206,,0,,,
2927.0,109.66932,1015.90533,0.12880844,113.072945,964.9373,0.16230166,189.7302,928.62,0.6518092,260.80496,895.53485,0.4223569,329.5872,871.5524,0.7303807,,0,,,
2928.0,116.581116,1024.0652,0.1292313,106.35515,973.52234,0.24235438,192.93996,929.2571,0.64751494,261.1892,896.7793,0.4622497,329.8164,872.21234,0.7040252,,0,,,
2929.0,261.41766,1757.1509,0.11294959,95.6702,988.18256,0.18551415,194.332,929.51776,0.5745373,262.34064,897.4781,0.48712003,329.2335,875.8554,0.6972857,,0,,,
2930.0,98.74056,1053.245,0.37054643,102.60742,985.9047,0.25716957,192.57292,929.2525,0.5138259,261.87506,898.16895,0.47423935,334.86627,880.2674,0.582444,,0,,,
2931.0,171.58083,1051.9071,0.2650167,100.28259,979.1494,0.29403785,187.8645,930.0797,0.53193045,245.54796,904.8829,0.45857355,321.605,895.69244,0.5655079,,0,,,
2932.0,146.39287,1010.1071,0.12356321,127.87226,952.39374,0.416482,187.77745,926.35425,0.713714,242.18147,910.2171,0.4490181,320.68665,912.6228,0.5992721,,0,,,
2933.0,260.93567,1756.4442,0.091076605,125.554184,945.2046,0.27438495,191.1404,919.4869,0.8824096,246.78177,915.39886,0.42415082,322.70383,930.2932,0.56103367,,0,,,
2934.0,264.3637,1756.1989,0.110795364,104.91829,954.7838,0.38125122,193.7243,917.3661,0.7297421,249.80846,914.11975,0.4043683,311.46564,935.3382,0.6485487,,0,,,
2935.0,262.95963,1755.0042,0.12147165,174.06969,935.63324,0.19850065,224.39015,909.6878,0.5264697,261.253,915.85803,0.3825668,303.61118,948.14166,0.70292264,,0,,,
2936.0,115.93206,973.1566,0.47178504,181.13416,924.4857,0.28641677,235.7988,904.34625,0.51109195,271.39877,922.4451,0.3387283,304.15063,966.4973,0.5368496,,0,,,
2937.0,124.59397,959.73083,0.68228865,177.62717,918.8713,0.33140114,245.29639,904.59827,0.62240696,278.95068,928.75146,0.33018532,300.06256,992.0398,0.4021134,,0,,,
2938.0,133.57065,942.96466,0.6951987,195.0464,911.55536,0.46250656,259.96848,911.1786,0.46728605,281.37067,935.7429,0.22786184,295.27652,1003.4684,0.3288505,,0,,,
